"Story","Title","Result","Date","Stability","Duration (s)"
"As a user I want login to altashop","login to altashop account","ERROR","2023-05-12T21:59:11.6451201+07:00[Asia/Jakarta]","0.0","56.19"
"As a user I want login to altashop","login without email account","ERROR","2023-05-12T22:00:08.951506+07:00[Asia/Jakarta]","0.0","12.94"
"As a user I want login to altashop","login without password account","ERROR","2023-05-12T22:00:21.9564566+07:00[Asia/Jakarta]","0.0","8.29"
"As a user I want login to altashop","login with inccorrect accoount","ERROR","2023-05-12T22:00:30.3081653+07:00[Asia/Jakarta]","0.0","8.86"
"As a user I want login to altashop","login without input account","ERROR","2023-05-12T22:00:39.9839512+07:00[Asia/Jakarta]","0.0","7.11"
"As user I want  to logout my account","I want to logout my account","SUCCESS","2023-05-12T22:00:47.1781911+07:00[Asia/Jakarta]","0.0","1.94"
"As user I want to pay my item","I want to pay my item","SUCCESS","2023-05-12T22:00:49.4703122+07:00[Asia/Jakarta]","0.0","1.09"
"As user I want to register for Altashop account","I register Altashop account without input username","ERROR","2023-05-12T22:00:55.6969044+07:00[Asia/Jakarta]","0.0","7.14"
"As user I want to register for Altashop account","I register Altashop account without input email","ERROR","2023-05-12T22:01:02.8893581+07:00[Asia/Jakarta]","0.0","11.42"
"As user I want to register for Altashop account","I register Altashop account without input password","ERROR","2023-05-12T22:01:14.3375333+07:00[Asia/Jakarta]","0.0","4.78"
"As user I want to register for Altashop account","I want register Altashop account","ERROR","2023-05-12T22:01:19.1594613+07:00[Asia/Jakarta]","0.0","4.09"
"I want to see transaction","I want to see my transaction with login account","SUCCESS","2023-05-12T22:01:23.28467+07:00[Asia/Jakarta]","0.0","0.42"
